gyro x,gyro y,gyro z,acc x,acc y,acc z
-3.11,-1.15,-2.08,0.3,-0.48,0.86
-2.84,-2.08,-1.79,0.29,-0.48,0.86
-1.45,-3.19,-1.2,0.29,-0.48,0.84
-0.05,-1.04,-1.37,0.29,-0.5,0.84
-0.2,-1.86,-1.98,0.3,-0.49,0.86
-0.55,-3.8,-1.62,0.29,-0.48,0.86
-0.38,-4.43,-1.59,0.29,-0.49,0.84
0.56,-2.29,-1.95,0.29,-0.48,0.84
0.64,-1.13,-1.79,0.29,-0.48,0.84
0.69,-0.43,-1.44,0.3,-0.47,0.84
-0.08,0.33,-1.79,0.28,-0.48,0.86
0.09,-4.7,-1.49,0.29,-0.47,0.83
-0.99,2.27,-1.52,0.28,-0.48,0.84
-0.96,0.59,-1.49,0.29,-0.47,0.84
-0.09,1.57,-1.43,0.29,-0.47,0.86
0.12,-0.17,-1.61,0.28,-0.49,0.88
0.32,-5.43,-2.49,0.29,-0.48,0.85
1.14,-1.91,-2.62,0.29,-0.47,0.85
0.06,-1.42,-1.67,0.3,-0.47,0.86
-0.0,-2.92,-1.03,0.3,-0.47,0.85
-0.58,-2.15,-0.48,0.29,-0.47,0.85
0.04,-4.72,-0.19,0.29,-0.46,0.83
2.2,-2.7,0.22,0.29,-0.45,0.8
-2.32,4.62,2.42,0.29,-0.46,0.83
-7.36,0.76,3.27,0.28,-0.49,0.88
-5.34,-8.88,0.62,0.28,-0.48,0.85
-3.31,-5.46,0.47,0.28,-0.48,0.82
-1.48,-1.42,-0.25,0.28,-0.48,0.83
0.23,-0.93,-0.65,0.28,-0.48,0.86
0.49,-6.7,-0.57,0.28,-0.48,0.86
0.78,-5.75,-0.39,0.29,-0.49,0.84
1.46,-3.57,0.11,0.29,-0.48,0.83
1.16,-0.4,0.79,0.29,-0.48,0.84
0.62,0.15,1.29,0.28,-0.49,0.87
-0.18,-3.04,1.21,0.28,-0.49,0.87
-0.44,-4.3,1.58,0.27,-0.49,0.85
-0.63,-1.8,1.5,0.28,-0.49,0.85
-2.98,-0.21,0.27,0.27,-0.51,0.88
-2.32,-6.5,-0.14,0.28,-0.48,0.85
-2.28,-4.58,-0.16,0.27,-0.49,0.85
-1.99,-7.16,-0.85,0.27,-0.5,0.83
-0.23,-5.77,-2.3,0.27,-0.5,0.81
-0.31,-2.82,-2.62,0.28,-0.48,0.81
0.2,0.84,-2.42,0.29,-0.47,0.84
-0.11,-2.69,-1.88,0.28,-0.47,0.87
1.26,-5.63,-1.64,0.29,-0.48,0.84
0.82,-1.01,-1.73,0.29,-0.48,0.85
0.64,-3.07,-0.88,0.28,-0.47,0.86
2.62,-2.5,-1.09,0.28,-0.48,0.85
0.33,0.36,-0.31,0.28,-0.49,0.87
-0.98,-1.95,-0.88,0.27,-0.49,0.88
-0.46,-4.64,-1.27,0.28,-0.49,0.87
-0.26,-6.75,-1.69,0.27,-0.49,0.84
-1.27,-1.15,-2.16,0.28,-0.48,0.84
