gyro x,gyro y,gyro z,acc x,acc y,acc z
1.75,-14.28,-19.99,0.32,-0.56,0.78
4.35,-11.86,-19.39,0.33,-0.56,0.75
-1.63,-6.46,-20.61,0.34,-0.57,0.79
-8.78,-13.53,-19.56,0.35,-0.57,0.78
-7.3,-11.99,-19.7,0.37,-0.53,0.76
0.27,-11.51,-17.79,0.39,-0.52,0.75
2.97,-11.44,-13.56,0.4,-0.53,0.76
-3.06,-16.27,-11.75,0.38,-0.56,0.73
-10.74,-8.66,-11.82,0.38,-0.55,0.69
-12.45,1.4,-11.46,0.39,-0.53,0.73
-10.74,1.61,-9.51,0.39,-0.53,0.77
-7.47,-4.68,-7.78,0.4,-0.55,0.76
-8.89,-4.46,-6.9,0.39,-0.57,0.74
-9.32,-2.45,-8.19,0.4,-0.56,0.73
-8.6,0.5,-7.6,0.4,-0.54,0.75
-4.24,-4.13,-5.87,0.42,-0.52,0.74
-1.9,-5.03,-2.76,0.42,-0.53,0.7
-2.62,-1.92,-2.3,0.43,-0.55,0.69
-3.09,2.49,-2.29,0.42,-0.54,0.71
-4.21,2.49,-0.82,0.42,-0.52,0.72
-2.21,0.98,1.28,0.43,-0.52,0.73
3.91,-0.88,2.53,0.42,-0.52,0.73
4.92,-2.02,3.48,0.41,-0.55,0.71
1.33,0.77,2.58,0.41,-0.56,0.72
-1.28,1.9,1.91,0.41,-0.54,0.74
1.06,0.6,2.29,0.4,-0.55,0.76
4.49,-3.18,2.6,0.41,-0.53,0.75
3.79,-4.56,3.62,0.41,-0.53,0.73
1.17,1.49,3.36,0.41,-0.54,0.73
-3.32,0.28,2.38,0.41,-0.56,0.75
-3.17,-2.39,1.79,0.41,-0.51,0.73
0.04,0.65,3.92,0.42,-0.51,0.74
0.97,0.75,4.53,0.41,-0.54,0.75
-2.24,-2.5,3.86,0.4,-0.55,0.75
-1.23,-3.43,2.72,0.41,-0.54,0.73
0.69,-1.47,2.66,0.4,-0.55,0.73
-0.01,-1.6,2.03,0.41,-0.54,0.72
-0.86,1.44,2.23,0.41,-0.54,0.74
-0.28,-1.15,2.4,0.4,-0.54,0.75
-0.5,-4.91,2.37,0.4,-0.53,0.74
-1.02,-4.43,2.4,0.4,-0.54,0.72
-1.69,0.74,1.94,0.4,-0.54,0.73
0.54,-2.53,1.19,0.4,-0.55,0.75
-0.57,-8.35,1.65,0.4,-0.55,0.72
-0.54,-3.88,0.66,0.4,-0.55,0.71
-2.34,-1.17,0.46,0.4,-0.55,0.73
-3.69,-0.88,1.01,0.41,-0.54,0.75
-0.34,-4.19,0.79,0.41,-0.55,0.74
-0.63,-3.65,1.42,0.41,-0.53,0.73
-1.31,-2.74,2.75,0.42,-0.54,0.72
-1.82,-0.04,2.95,0.41,-0.56,0.75
-1.31,-5.04,2.78,0.41,-0.55,0.76
0.13,-7.93,2.93,0.4,-0.55,0.72
-0.91,-6.34,2.18,0.41,-0.56,0.72
-3.72,-4.28,2.11,0.41,-0.55,0.71
-4.86,-4.56,2.38,0.41,-0.54,0.72
-2.85,-5.18,3.02,0.4,-0.56,0.73
0.88,-7.81,2.79,0.4,-0.56,0.71
1.87,-7.88,2.53,0.4,-0.57,0.69
0.04,-2.16,2.69,0.4,-0.55,0.69
-0.68,0.11,2.79,0.41,-0.55,0.73
1.26,-1.9,2.58,0.4,-0.56,0.75
1.36,-8.06,2.84,0.4,-0.57,0.73
2.89,-10.34,2.41,0.39,-0.56,0.7
1.39,-5.85,2.53,0.4,-0.56,0.69
1.06,-2.05,2.55,0.39,-0.56,0.72
2.05,-6.65,2.99,0.39,-0.57,0.73
3.44,-10.96,3.14,0.38,-0.57,0.69
2.31,-7.03,2.9,0.38,-0.56,0.68
2.69,-4.28,3.4,0.38,-0.58,0.7
5.36,-8.03,3.37,0.38,-0.59,0.71
6.95,-12.89,3.45,0.39,-0.58,0.69
8.25,-10.67,4.03,0.39,-0.58,0.68
6.41,-9.58,4.7,0.39,-0.59,0.69
5.79,-12.52,6.12,0.4,-0.57,0.69
9.76,-11.65,9.02,0.4,-0.57,0.69
11.8,-13.54,11.22,0.39,-0.59,0.7
11.83,-14.67,14.02,0.39,-0.59,0.7
14.4,-16.99,15.66,0.39,-0.6,0.7
13.51,-14.5,18.13,0.38,-0.6,0.72
13.63,-17.83,19.36,0.37,-0.6,0.74
9.63,-23.06,21.44,0.37,-0.6,0.75
10.93,-31.24,22.57,0.37,-0.6,0.74
8.49,-34.23,23.7,0.36,-0.63,0.73
7.86,-40.75,23.87,0.35,-0.62,0.72
12.73,-50.8,26.31,0.33,-0.59,0.67
19.86,-50.68,28.14,0.34,-0.58,0.62
21.72,-50.24,27.54,0.33,-0.6,0.62
28.88,-51.0,27.62,0.33,-0.56,0.61
38.0,-54.34,31.31,0.32,-0.55,0.59
45.72,-56.18,36.79,0.3,-0.54,0.55
55.01,-54.62,40.1,0.29,-0.51,0.53
58.16,-60.01,41.35,0.27,-0.51,0.5
68.43,-55.2,37.86,0.31,-0.44,0.46
72.32,-51.64,43.73,0.33,-0.36,0.46
75.23,-50.77,54.2,0.37,-0.32,0.46
76.91,-47.59,61.43,0.37,-0.33,0.49
75.81,-52.64,63.62,0.36,-0.28,0.54
82.62,-60.37,68.65,0.33,-0.19,0.54
93.13,-73.34,74.56,0.27,-0.22,0.56
80.39,-72.23,72.62,0.2,-0.32,0.61
65.86,-86.51,60.64,0.15,-0.32,0.69
76.88,-98.31,54.96,0.13,-0.18,0.7
87.19,-115.44,46.36,0.08,-0.3,0.77
66.67,-153.54,16.65,-0.03,-0.52,0.62
48.96,-141.4,-10.31,0.04,-0.25,0.49
59.84,-137.99,-16.34,0.04,-0.32,0.55
94.4,-151.27,-45.21,0.22,-0.33,0.28
85.91,-111.18,-71.94,0.4,-0.28,0.22
62.89,-64.2,-71.68,0.66,0.38,0.59
82.39,-90.58,-27.28,0.75,0.46,0.85
68.08,-141.37,-0.14,0.89,0.04,0.24
46.76,-55.78,-4.93,0.99,-0.2,-0.05
23.32,42.56,1.47,1.11,-0.1,0.3
38.49,73.11,40.8,1.3,0.06,0.76
41.54,53.2,69.63,1.38,-0.56,0.66
8.15,94.72,36.47,1.26,-1.1,1.01
-15.73,2.77,-7.11,1.34,-0.64,0.64
58.92,49.42,-9.84,1.54,-0.8,0.35
160.6,78.73,-32.04,1.19,-1.32,1.13
112.95,-20.29,-63.57,1.35,-0.6,0.96
-31.53,-61.3,-64.36,1.55,-0.23,-0.1
-15.41,114.97,-48.14,1.55,0.04,0.35
197.55,135.12,-24.52,1.66,0.44,1.9
79.79,-68.84,7.83,1.03,-0.43,1.38
-134.29,-104.87,-22.64,1.18,-0.49,-0.47
-161.78,103.31,-36.89,0.98,0.26,-0.41
95.39,153.24,5.23,1.23,1.07,0.42
111.35,190.09,117.59,1.06,0.79,1.77
-38.74,-173.76,136.17,0.47,-0.89,1.61
-6.69,-160.99,9.4,0.58,-0.9,-0.02
-68.73,-3.81,-26.38,0.62,-0.13,-0.05
-20.14,104.35,-25.28,0.75,0.39,0.66
-66.74,91.67,2.24,0.5,0.46,1.35
-50.23,-7.99,-5.52,0.21,-0.44,2.0
-20.72,-158.06,-20.22,0.16,-0.06,1.56
-12.66,-206.72,-6.03,0.26,-0.08,0.97
-9.38,-177.15,-13.64,0.36,-0.09,0.69
-31.81,-159.83,-35.05,0.47,-0.07,0.55
-49.77,-127.46,-70.75,0.57,-0.17,0.69
-54.91,-135.93,-82.75,0.67,0.05,0.7
-58.89,-161.83,-78.25,0.75,0.05,0.49
-84.83,-155.6,-84.78,0.91,0.05,0.15
-99.18,-133.08,-86.84,0.97,0.25,0.13
-82.35,-147.38,-79.12,0.99,0.3,0.09
-47.98,-187.69,-72.83,1.05,0.33,-0.26
-55.43,-154.75,-64.15,1.13,0.24,-0.63
-78.12,-100.7,-63.96,1.1,0.23,-0.65
-73.91,-57.35,-61.84,1.16,0.38,-0.63
-61.67,-24.19,-47.33,1.11,0.4,-0.53
-43.41,-6.45,-29.02,1.08,0.37,-0.56
-24.68,50.94,-28.01,1.06,0.15,-0.44
-61.17,94.38,-41.15,0.98,-0.08,-0.09
-90.84,108.5,-54.34,1.01,0.15,0.35
-78.56,37.86,-43.76,0.94,0.4,0.46
-50.59,-9.04,12.7,0.79,0.69,0.15
52.19,125.27,-65.55,0.63,-0.6,0.48
-122.67,14.95,-95.95,0.96,0.46,0.54
-106.13,-82.38,-54.21,1.16,0.87,0.44
-1.21,-114.19,-6.01,1.14,0.81,-0.23
6.74,-104.09,34.85,1.07,0.11,-0.59
-22.1,-34.43,17.3,1.01,-0.23,-0.69
-72.7,45.95,-14.57,1.05,-0.05,0.03
-66.37,-10.99,-11.43,1.0,0.31,0.33
-26.06,-78.09,-1.27,0.94,0.25,0.12
-12.49,-86.57,-5.69,1.02,0.18,-0.27
-21.13,-32.01,-12.71,1.01,0.17,-0.28
-30.07,-2.19,-19.38,0.95,0.16,-0.1
-35.93,8.37,-23.8,0.92,0.17,0.16
-29.66,-20.91,-31.39,0.9,0.1,0.31
-33.21,-68.93,-47.96,0.86,0.08,0.18
-39.7,-70.76,-59.08,0.86,0.3,-0.03
-41.45,-44.23,-58.85,0.95,0.4,-0.06
-44.73,-26.8,-60.3,1.01,0.37,0.1
