gyro x,gyro y,gyro z,acc x,acc y,acc z
-0.02,0.14,-0.06,-0.0,0.0,1.0
0.14,0.0,0.02,0.0,0.0,0.99
0.11,0.0,0.0,-0.0,0.0,1.0
0.04,0.14,-0.03,-0.0,-0.0,1.0
-0.09,0.06,-0.05,-0.0,-0.0,1.0
-0.0,0.11,-0.03,0.0,0.0,1.0
0.03,0.0,-0.11,0.0,0.0,1.0
0.04,0.09,0.05,-0.0,-0.0,1.0
0.09,0.0,0.03,-0.0,-0.0,1.0
-0.02,0.09,0.05,0.0,0.0,1.0
0.15,0.02,-0.05,0.0,0.0,1.0
0.03,-0.02,-0.06,-0.0,-0.0,1.0
0.18,-0.06,-0.08,-0.0,0.0,1.0
0.09,-0.11,-0.01,0.0,0.0,1.0
-0.09,0.14,-0.01,-0.0,0.0,1.01
0.98,0.11,1.74,-0.01,0.07,1.0
0.4,-1.37,7.45,0.0,0.05,0.99
-0.35,1.79,9.55,0.0,-0.02,0.99
1.63,-0.64,4.12,0.02,-0.03,1.02
3.83,-3.68,0.14,0.02,0.08,1.03
-1.41,-6.38,-1.63,0.02,0.09,1.07
-15.34,-9.64,-6.15,0.05,0.13,0.98
-22.74,-14.18,-13.03,0.03,0.09,1.08
-14.45,-19.41,-16.8,0.01,0.09,0.98
-24.09,-19.27,-20.51,0.07,0.12,1.15
-39.74,-11.84,-23.09,0.04,0.11,1.13
-44.43,-4.97,-21.77,0.01,0.01,1.14
-32.87,0.06,-20.32,0.02,-0.0,1.14
-24.57,1.88,-22.4,0.07,-0.01,1.18
-22.81,5.92,-34.01,0.0,0.01,1.22
-21.99,9.66,-31.14,-0.03,-0.05,1.09
-12.24,7.55,-28.79,-0.03,-0.08,1.09
6.7,3.27,-31.46,-0.03,-0.07,1.09
13.5,8.51,-28.37,-0.06,-0.04,1.08
18.81,13.96,-20.9,-0.07,-0.03,1.04
29.74,13.32,-17.41,-0.04,-0.04,1.03
37.35,14.54,-20.98,-0.03,0.01,1.01
33.42,17.5,-37.05,-0.03,0.06,1.01
35.09,19.82,-60.44,-0.06,0.09,0.94
40.3,14.86,-92.59,-0.08,0.08,0.96
39.81,11.89,-122.73,-0.16,0.11,0.92
29.97,18.55,-128.14,-0.16,0.09,0.95
25.97,18.02,-137.21,-0.1,0.09,0.99
27.4,14.92,-140.72,-0.14,0.12,0.94
23.01,17.56,-131.42,-0.05,0.09,0.98
14.57,21.23,-126.34,-0.08,0.09,0.93
8.77,1.37,-116.33,-0.13,0.06,0.89
2.71,-12.76,-96.63,-0.13,0.05,0.96
-2.41,-4.21,-75.13,-0.12,0.07,0.98
